rank,prev_rank,name,league,off,def,spi
597,604,El Paso Locomotive FC,United Soccer League,0.35,1.84,12.81
598,599,Rio Grande Valley FC Toros,United Soccer League,0.56,2.33,12.37
599,607,Las Vegas Lights FC,United Soccer League,0.54,2.3,12.14
600,611,Loudoun United FC,United Soccer League,0.61,2.45,12.14
601,598,Southend United,English League One,0.57,2.39,12.03
602,606,Cheltenham Town,English League Two,0.47,2.21,11.77
603,608,Bethlehem Steel FC,United Soccer League,0.6,2.49,11.75
604,601,Bolton,English League One,0.51,2.31,11.59
605,610,Northampton Town,English League Two,0.5,2.29,11.55
606,605,Forest Green Rovers,English League Two,0.38,2.05,11.38
607,609,Birmingham Legion FC,United Soccer League,0.43,2.18,11.28
608,615,Grimsby Town,English League Two,0.41,2.18,10.86
609,613,Crewe Alexandra,English League Two,0.43,2.27,10.55
610,612,Carlisle United,English League Two,0.45,2.36,10.16
611,614,Colchester United,English League Two,0.35,2.13,10.12
612,617,Hartford Athletic,United Soccer League,0.68,2.92,9.73
613,616,Stellenbosch FC,South African ABSA Premier League,0.28,2.03,9.6
614,618,Newport County,English League Two,0.2,1.84,9.51
615,620,Stevenage,English League Two,0.26,2.09,8.74
616,622,Crawley Town,English League Two,0.35,2.36,8.52
617,619,Swope Park Rangers,United Soccer League,0.51,2.76,8.33
618,623,Leyton Orient,English League Two,0.33,2.33,8.28
619,621,Morecambe,English League Two,0.34,2.38,8.14
620,625,Memphis 901 FC,United Soccer League,0.25,2.21,7.83
621,624,Walsall,English League Two,0.24,2.26,7.29
622,627,Macclesfield,English League Two,0.24,2.29,7.1
623,626,Cambridge United,English League Two,0.2,2.19,7.03
624,632,Tacoma Defiance,United Soccer League,0.43,2.79,7.01
625,628,Tulsa Roughnecks,United Soccer League,0.39,2.7,6.99
626,629,Port Vale,English League Two,0.2,2.27,6.52
627,630,Colorado Springs Switchbacks FC,United Soccer League,0.2,2.43,5.71
628,631,Atlanta United 2,United Soccer League,0.38,2.98,5.46
