rank,prev_rank,name,league,off,def,spi
261,274,Gil Vicente,Portuguese Liga,1.24,1.34,43.4
262,305,Sporting de Charleroi,Belgian Jupiler League,1.34,1.45,43.39
263,254,FC Lugano,Swiss Raiffeisen Super League,1.26,1.36,43.37
264,248,Toluca,Mexican Primera Division Torneo Apertura,1.23,1.33,43.34
265,258,Perth Glory,Australian A-League,1.36,1.47,43.32
266,259,Chapecoense AF,Brasileiro Série A,1.15,1.23,43.32
267,239,FK Austria Vienna,Austrian T-Mobile Bundesliga,1.53,1.66,43.23
268,,PFC Oleksandriya,UEFA Europa League,1.28,1.39,43.17
269,290,FC Sion,Swiss Raiffeisen Super League,1.24,1.35,43.17
270,267,Lanus,Argentina Primera Division,1.15,1.24,43.12
271,280,Sanfrecce Hiroshima,Japanese J League,1.12,1.21,43.12
272,264,Santa Clara,Portuguese Liga,1.17,1.27,43.12
273,282,Ural Sverdlovsk Oblast,Russian Premier Liga,1.41,1.54,43.06
274,270,Troyes,French Ligue 2,1.11,1.21,43.05
275,250,Sivasspor,Turkish Turkcell Super Lig,1.44,1.57,43.01
276,281,Morelia,Mexican Primera Division Torneo Apertura,1.21,1.33,42.8
277,256,Desportivo Aves,Portuguese Liga,1.24,1.36,42.79
278,257,Aris Salonika,Greek Super League,1.31,1.44,42.76
279,249,Reading,English League Championship,1.21,1.34,42.57
280,261,Odense BK,Danish SAS-Ligaen,1.18,1.31,42.55
281,269,Rosenborg,Norwegian Tippeligaen,1.37,1.53,42.49
282,277,Konyaspor,Turkish Turkcell Super Lig,1.1,1.21,42.48
283,247,New York Red Bulls,Major League Soccer,1.42,1.59,42.43
284,268,Sporting Kansas City,Major League Soccer,1.36,1.51,42.35
285,298,San Jose Earthquakes,Major League Soccer,1.5,1.69,42.25
286,296,Cerezo Osaka,Japanese J League,1.0,1.11,42.23
287,275,Union Santa Fe,Argentina Primera Division,1.08,1.21,42.23
288,271,Seattle Sounders FC,Major League Soccer,1.4,1.58,42.01
289,307,St. Truidense,Belgian Jupiler League,1.18,1.33,41.94
290,309,FC Twente,Dutch Eredivisie,1.33,1.51,41.89
291,306,SV Zulte Waregem,Belgian Jupiler League,1.42,1.61,41.76
292,276,Sparta,Dutch Eredivisie,1.35,1.54,41.64
293,278,Portland Timbers,Major League Soccer,1.44,1.64,41.63
294,297,FC Dallas,Major League Soccer,1.34,1.54,41.58
295,286,Pacos Ferreira,Portuguese Liga,1.18,1.35,41.58
296,303,St Gallen,Swiss Raiffeisen Super League,1.37,1.57,41.55
297,293,Dalian Aerbin,Chinese Super League,1.38,1.58,41.54
298,273,Empoli,Italy Serie B,1.28,1.47,41.51
299,312,Los Angeles Galaxy,Major League Soccer,1.57,1.8,41.4
300,287,Vitoria Setubal,Portuguese Liga,1.03,1.18,41.37
301,283,Atromitos,Greek Super League,1.14,1.32,41.27
302,288,Málaga,Spanish Segunda Division,1.03,1.19,41.21
303,279,Yeni Malatyaspor,Turkish Turkcell Super Lig,1.33,1.54,41.2
304,291,Argentinos Juniors,Argentina Primera Division,1.02,1.18,41.19
305,304,Estudiantes,Argentina Primera Division,1.02,1.19,40.94
306,294,Goiás,Brasileiro Série A,1.13,1.32,40.9
307,320,Chicago Fire,Major League Soccer,1.31,1.54,40.89
308,315,Tondela,Portuguese Liga,1.25,1.47,40.61
309,295,Krylia Sovetov,Russian Premier Liga,1.16,1.37,40.58
310,299,Wigan,English League Championship,1.18,1.4,40.53
311,289,FC Groningen,Dutch Eredivisie,1.07,1.28,40.19
312,311,Real Salt Lake,Major League Soccer,1.13,1.35,40.17
313,302,Belenenses,Portuguese Liga,1.08,1.3,40.05
314,313,Mamelodi Sundowns,South African ABSA Premier League,1.12,1.35,40.02
315,319,FC Tambov,Russian Premier Liga,1.12,1.37,39.75
316,325,Rosario Central,Argentina Primera Division,1.04,1.27,39.71
317,314,Shanghai Greenland,Chinese Super League,1.34,1.63,39.62
318,348,Atlas,Mexican Primera Division Torneo Apertura,1.16,1.43,39.42
319,324,Toronto FC,Major League Soccer,1.34,1.64,39.41
320,321,Arsenal Sarandi,Argentina Primera Division,1.1,1.36,39.4
321,326,Cadiz,Spanish Segunda Division,1.08,1.35,39.11
322,317,Heerenveen,Dutch Eredivisie,1.38,1.71,38.82
323,327,Tianjin Teda,Chinese Super League,1.22,1.53,38.77
324,310,Huracán,Argentina Primera Division,1.08,1.36,38.72
325,300,Deportivo La Coruña,Spanish Segunda Division,1.12,1.41,38.7
326,316,Cashpoint SC Rheindorf Altach,Austrian T-Mobile Bundesliga,1.37,1.71,38.69
327,336,Luton Town,English League Championship,1.18,1.48,38.66
328,329,Minnesota United FC,Major League Soccer,1.28,1.61,38.62
329,331,Sydney FC,Australian A-League,1.16,1.47,38.56
330,351,Hartberg,Austrian T-Mobile Bundesliga,1.48,1.85,38.55
331,344,Bodo/Glimt,Norwegian Tippeligaen,1.49,1.87,38.47
332,343,Consadole Sapporo,Japanese J League,1.23,1.57,38.29
333,301,Sunderland,English League One,1.27,1.61,38.28
334,328,Avaí,Brasileiro Série A,1.0,1.29,38.18
335,397,IFK Goteborg,Swedish Allsvenskan,1.14,1.47,38.17
336,339,Puebla,Mexican Primera Division Torneo Apertura,1.13,1.45,38.1
337,340,Almeria,Spanish Segunda Division,1.01,1.31,38.04
338,372,Le Havre,French Ligue 2,1.21,1.55,38.03
339,354,Charlton Athletic,English League Championship,1.12,1.45,37.96
340,330,Maritimo,Portuguese Liga,1.08,1.4,37.89
341,334,Goztepe,Turkish Turkcell Super Lig,1.03,1.35,37.88
342,337,Atlético Tucumán,Argentina Primera Division,1.06,1.38,37.8
343,341,KV Mechelen,Belgian Jupiler League,1.18,1.52,37.78
344,333,Vissel Kobe,Japanese J League,1.5,1.91,37.77
345,346,1. FC Nürnberg,German 2. Bundesliga,1.17,1.52,37.7
346,355,Sporting Gijón,Spanish Segunda Division,0.98,1.29,37.61
347,353,Patronato,Argentina Primera Division,1.05,1.37,37.59
348,335,Willem II,Dutch Eredivisie,1.45,1.86,37.58
349,342,Hebei China Fortune FC,Chinese Super League,1.22,1.59,37.45
350,367,Ipswich Town,English League One,1.24,1.62,37.39
351,338,Colon Santa Fe,Argentina Primera Division,0.98,1.3,37.35
352,345,Lens,French Ligue 2,1.0,1.33,37.31
353,356,Central Córdoba Santiago del Estero,Argentina Primera Division,1.02,1.37,37.23
354,349,Wuhan Zall,Chinese Super League,1.13,1.5,37.22
355,370,Aberdeen,Scottish Premiership,1.16,1.54,37.19
356,350,Arminia Bielefeld,German 2. Bundesliga,1.21,1.6,37.19
357,402,Servette,Swiss Raiffeisen Super League,1.12,1.5,36.88
358,390,OFI Crete,Greek Super League,1.08,1.47,36.68
359,366,SD Huesca,Spanish Segunda Division,1.07,1.45,36.67
360,359,Aldosivi,Argentina Primera Division,0.94,1.3,36.46
361,323,Caen,French Ligue 2,1.07,1.46,36.45
362,332,Panathinaikos,Greek Super League,1.01,1.39,36.43
363,358,Chongqing Lifan,Chinese Super League,1.12,1.53,36.25
364,375,VVV Venlo,Dutch Eredivisie,1.32,1.77,36.24
365,360,Real Zaragoza,Spanish Segunda Division,1.05,1.44,36.24
366,373,Ankaragucu,Turkish Turkcell Super Lig,1.05,1.44,36.22
367,352,Randers FC,Danish SAS-Ligaen,1.07,1.48,36.13
368,384,Heracles,Dutch Eredivisie,1.36,1.84,36.1
369,401,Denizlispor,Turkish Turkcell Super Lig,1.04,1.46,35.83
370,395,PEC Zwolle,Dutch Eredivisie,1.29,1.76,35.81
371,365,Guangzhou RF,Chinese Super League,1.49,2.02,35.68
372,379,KV Oostende,Belgian Jupiler League,1.1,1.53,35.63
373,376,Kayserispor,Turkish Turkcell Super Lig,1.12,1.57,35.58
374,364,New England Revolution,Major League Soccer,1.33,1.83,35.52
375,347,Holstein Kiel,German 2. Bundesliga,1.26,1.76,35.2
376,414,Gazisehir Gaziantep,Turkish Turkcell Super Lig,1.15,1.62,35.18
377,374,Godoy Cruz,Argentina Primera Division,1.0,1.44,35.18
378,410,Jahn Regensburg,German 2. Bundesliga,1.29,1.81,35.18
379,378,Gimnasia La Plata,Argentina Primera Division,0.97,1.4,35.1
380,361,Columbus Crew,Major League Soccer,1.1,1.57,35.0
381,387,Barnsley,English League Championship,1.04,1.5,34.94
382,363,Kasimpasa,Turkish Turkcell Super Lig,1.24,1.76,34.87
383,318,Thun,Swiss Raiffeisen Super League,1.18,1.69,34.6
384,383,Melbourne City,Australian A-League,1.03,1.51,34.57
385,368,Antalyaspor,Turkish Turkcell Super Lig,1.13,1.64,34.52
386,385,F91 Dudelange,UEFA Europa League,1.29,1.83,34.49
387,369,Sonderjyske,Danish SAS-Ligaen,1.07,1.56,34.44
388,362,WSG Swarovski Wattens,Austrian T-Mobile Bundesliga,1.13,1.65,34.26
389,392,New York Red Bulls II,United Soccer League,1.44,2.04,34.25
390,388,SK Brann,Norwegian Tippeligaen,1.04,1.54,34.23
391,413,Atlético San Luis,Mexican Primera Division Torneo Apertura,0.96,1.44,34.13
392,394,FC Zurich,Swiss Raiffeisen Super League,1.08,1.6,34.03
393,403,Kilmarnock,Scottish Premiership,0.87,1.33,33.94
394,400,Asteras Tripolis,Greek Super League,0.85,1.3,33.9
395,436,Odd BK,Norwegian Tippeligaen,1.08,1.61,33.84
396,396,Henan Jianye,Chinese Super League,1.07,1.6,33.81
397,398,Tianjin Quanujian,Chinese Super League,1.1,1.64,33.78
398,399,Newcastle Jets,Australian A-League,1.26,1.84,33.78
399,377,Orlando City SC,Major League Soccer,1.11,1.66,33.76
400,424,DC United,Major League Soccer,1.16,1.72,33.72
401,386,Clermont Foot,French Ligue 2,0.95,1.45,33.67
402,419,Benevento,Italy Serie B,1.05,1.59,33.47
403,431,SV Sandhausen,German 2. Bundesliga,1.07,1.62,33.43
404,393,Orlando Pirates,South African ABSA Premier League,0.93,1.44,33.25
405,391,Esbjerg,Danish SAS-Ligaen,0.98,1.5,33.22
406,404,Chievo Verona,Italy Serie B,1.06,1.62,33.16
407,429,Nashville SC,United Soccer League,1.06,1.61,33.15
408,425,VfL Osnabruck,German 2. Bundesliga,1.02,1.58,33.02
409,371,Valerenga,Norwegian Tippeligaen,1.24,1.86,32.99
410,447,Kristiansund BK,Norwegian Tippeligaen,1.05,1.62,32.96
411,389,1. FC Heidenheim 1846,German 2. Bundesliga,1.15,1.74,32.93
412,420,Neuchatel Xamax,Swiss Raiffeisen Super League,1.08,1.66,32.93
413,423,CSA,Brasileiro Série A,0.91,1.43,32.91
414,405,Bidvest Wits,South African ABSA Premier League,0.98,1.53,32.85
415,409,Las Palmas,Spanish Segunda Division,0.99,1.55,32.63
416,418,VfL Bochum,German 2. Bundesliga,1.16,1.78,32.46
417,415,Houston Dynamo,Major League Soccer,1.19,1.83,32.45
418,412,Nagoya Grampus Eight,Japanese J League,1.23,1.88,32.38
419,380,RKC,Dutch Eredivisie,1.12,1.75,32.32
420,426,Lamia,Greek Super League,0.89,1.44,32.25
421,441,SV Mattersburg,Austrian T-Mobile Bundesliga,1.12,1.74,32.19
422,468,FC Xanthi,Greek Super League,0.88,1.43,32.07
423,411,Tampa Bay Rowdies,United Soccer League,1.06,1.67,32.02
424,407,Albacete,Spanish Segunda Division,0.88,1.44,31.94
425,444,Fuenlabrada,Spanish Segunda Division,1.01,1.61,31.92
426,427,Larissa,Greek Super League,0.8,1.33,31.9
427,422,Dynamo Dresden,German 2. Bundesliga,1.01,1.62,31.84
428,446,Colorado Rapids,Major League Soccer,1.23,1.93,31.52
429,432,Shenzhen FC,Chinese Super League,0.94,1.55,31.45
430,381,Montreal Impact,Major League Soccer,1.12,1.8,31.39
431,408,Emmen,Dutch Eredivisie,1.1,1.77,31.37
432,435,Melbourne Victory,Australian A-League,1.15,1.84,31.32
433,417,Frosinone,Italy Serie B,1.03,1.69,31.03
434,456,FC Juárez,Mexican Primera Division Torneo Apertura,0.93,1.56,31.02
435,430,Gamba Osaka,Japanese J League,1.0,1.66,30.91
436,438,Hobro IK,Danish SAS-Ligaen,0.95,1.6,30.86
437,406,Haugesund,Norwegian Tippeligaen,1.01,1.68,30.83
438,437,Real Oviedo,Spanish Segunda Division,0.95,1.6,30.66
439,416,Genclerbirligi,Turkish Turkcell Super Lig,1.0,1.69,30.41
440,478,SD Ponferradina,Spanish Segunda Division,0.99,1.68,30.36
441,458,FC St. Pauli,German 2. Bundesliga,1.05,1.76,30.32
442,451,Crotone,Italy Serie B,0.92,1.58,30.32
443,443,Lobos de la BUAP,Mexican Primera Division Torneo Clausura,0.98,1.67,30.3
444,445,Perugia,Italy Serie B,0.96,1.65,30.2
445,469,Auxerre,French Ligue 2,0.82,1.45,30.11
446,450,Urawa Red Diamonds,Japanese J League,0.99,1.71,29.84
447,463,Kaizer Chiefs,South African ABSA Premier League,0.83,1.49,29.79
448,439,Extremadura UD,Spanish Segunda Division,0.76,1.4,29.62
449,455,SpVgg Greuther Fürth,German 2. Bundesliga,0.95,1.67,29.62
450,448,Elche,Spanish Segunda Division,0.95,1.67,29.54
451,498,Pittsburgh Riverhounds,United Soccer League,1.04,1.8,29.51
452,484,Motherwell,Scottish Premiership,1.05,1.82,29.46
453,477,Valenciennes,French Ligue 2,0.97,1.71,29.45
454,467,Orebro SK,Swedish Allsvenskan,1.15,1.95,29.42
455,476,Volos NFC,Greek Super League,0.94,1.66,29.39
456,433,Hibernian,Scottish Premiership,0.95,1.68,29.3
457,457,Adelaide United,Australian A-League,0.93,1.66,29.25
458,428,FC Trenkwalder Admira,Austrian T-Mobile Bundesliga,1.16,1.98,29.08
459,453,Spezia,Italy Serie B,0.95,1.69,29.07
460,454,Karlsruher SC,German 2. Bundesliga,1.05,1.83,29.06
461,475,Cercle Brugge,Belgian Jupiler League,1.11,1.92,28.91
462,464,Paris FC,French Ligue 2,0.69,1.33,28.86
463,472,Racing Santander,Spanish Segunda Division,0.92,1.67,28.84
464,459,Oita Trinita,Japanese J League,0.74,1.4,28.79
465,434,Waasland-Beveren,Belgian Jupiler League,1.08,1.89,28.67
466,483,Numancia,Spanish Segunda Division,0.83,1.57,28.37
467,442,Tenerife,Spanish Segunda Division,0.91,1.69,28.26
468,473,Panetolikos,Greek Super League,0.93,1.72,28.24
469,462,Black Aces,South African ABSA Premier League,0.91,1.69,28.23
470,504,Peterborough United,English League One,1.0,1.82,28.22
471,471,Shonan Bellmare,Japanese J League,1.02,1.85,28.15
472,466,Vegalta Sendai,Japanese J League,0.96,1.76,28.06
473,488,Erzgebirge Aue,German 2. Bundesliga,0.92,1.72,27.88
474,460,St. Pölten,Austrian T-Mobile Bundesliga,0.92,1.73,27.85
475,474,SV Darmstadt 98,German 2. Bundesliga,0.89,1.69,27.61
476,480,Western Sydney FC,Australian A-League,1.14,2.05,27.57
477,449,Eupen,Belgian Jupiler League,0.99,1.84,27.57
478,470,Mirandes,Spanish Segunda Division,0.91,1.74,27.43
479,482,Portsmouth,English League One,0.96,1.81,27.38
480,481,Hearts,Scottish Premiership,0.91,1.74,27.33
481,497,Burton Albion,English League One,0.91,1.75,27.2
482,461,Lugo,Spanish Segunda Division,0.84,1.66,27.11
483,493,Niort,French Ligue 2,0.71,1.46,27.09
484,485,Panionios,Greek Super League,0.85,1.67,27.06
485,496,Indy Eleven,United Soccer League,0.82,1.62,27.06
486,465,Reno 1868 FC,United Soccer League,1.18,2.15,27.01
487,491,Fortuna Sittard,Dutch Eredivisie,1.15,2.1,26.97
488,515,AD Alcorcon,Spanish Segunda Division,0.77,1.57,26.72
489,505,Lyngby,Danish SAS-Ligaen,0.87,1.73,26.6
490,452,North Carolina FC,United Soccer League,1.03,1.97,26.53
491,502,Oxford United,English League One,1.02,1.97,26.22
492,495,Guizhou Renhe,Chinese Super League,0.89,1.79,26.2
493,486,Cittadella,Italy Serie B,0.88,1.76,26.19
494,494,AS Nancy Lorraine,French Ligue 2,0.8,1.66,25.95
495,479,SV Wehen Wiesbaden,German 2. Bundesliga,0.95,1.89,25.92
496,507,Livingston,Scottish Premiership,0.9,1.82,25.73
497,501,Silkeborg,Danish SAS-Ligaen,1.0,1.98,25.69
498,489,Sarpsborg,Norwegian Tippeligaen,0.89,1.83,25.48
